Experiment_ID,Name,Components,Description,Source,AP,AP50,AP75,APs,APm,APl,AR1,AR10,AR100,ARs,ARm,ARl,Best_Epoch,Overall_Accuracy,Mean_Class_Accuracy
Baseline,RT-DETR (Baseline),None,原始RT-DETR模型，无任何改进,rtdetrv2_r50vd_cancer_detection_split_dataset_aug,0.18482696197729861,0.30153910521280614,0.19343725280704582,0.16905384142441424,0.16457570913654115,0.14933014689855445,0.11414634719193686,0.3767743326003169,0.4506835559834076,0.4889965346095322,0.46154734671895625,0.5515723351544052,5,0.7024,0.46
Mamba,RT-DETR + Mamba,Mamba,添加Mamba机制，增强序列建模能力，提升AP 1.6%,rtdetrv2_r50vd_cancer_detection_split_dataset_aug1,0.1879766474243431,0.30472712370749694,0.1994557523824604,0.1723976633370942,0.17187890384865656,0.17012431560045183,0.11386033400502135,0.3690858098943126,0.44604342607055975,0.483880174599782,0.45746412428390026,0.5523497922443011,7,0.7024,0.46
HIFM,RT-DETR + HIFM,HIFM,添加HIFM（Hierarchical Feature Fusion Module）机制，提升AP 8.1%,rtdetrv2_r50vd_cancer_detection_split_dataset_aug_unUsePre1,0.20029711817361592,0.3538112555497277,0.20400070508844168,0.0757142967957137,0.18230711296623497,0.27531594644491575,0.1814868771669568,0.4665778002966027,0.5374893925444366,0.3287970976922446,0.5470335991925326,0.6970830915019107,7,0.7024,0.46
DSCA,RT-DETR + DSCA,DSCA,添加DSCA（Deformable Spatial Channel Attention）机制，提升AP 60.0%,rtdetrv2_r50vd_cancer_detection_split_dataset_1224,0.2955572534488562,0.450433843338991,0.3364223737404333,0.17510128915316361,0.31389920306005,0.2614607297982942,0.20387067167687847,0.5174344522014067,0.6055591403064238,0.5306104444497949,0.655589996366239,0.5974349261849263,5,0.7024,0.46
Mamba+HIFM,RT-DETR + Mamba + HIFM,"Mamba, HIFM",组合Mamba和HIFM机制，产生协同效应，提升AP 73.0%,rtdetrv2_r50vd_cancer_detection_split_dataset_0107,0.319836495055479,0.48070046076848627,0.36930237745526046,0.18974064464515986,0.32683239782767837,0.2857109397268676,0.15990789670568367,0.4899783262303924,0.5831321056345258,0.4967732342452251,0.6298192848348163,0.5687699427064966,11,0.748,0.4469
Mamba+DSCA,RT-DETR + Mamba + DSCA,"Mamba, DSCA",组合Mamba和DSCA机制，序列建模与注意力机制结合，提升AP 73.0%,rtdetrv2_r50vd_cancer_detection_split_dataset_0107,0.319836495055479,0.48070046076848627,0.36930237745526046,0.18974064464515986,0.32683239782767837,0.2857109397268676,0.15990789670568367,0.4899783262303924,0.5831321056345258,0.4967732342452251,0.6298192848348163,0.5687699427064966,11,0.748,0.4469
HIFM+DSCA,RT-DETR + HIFM + DSCA,"HIFM, DSCA",组合HIFM和DSCA机制，特征融合与注意力机制结合，提升AP 73.0%,rtdetrv2_r50vd_cancer_detection_split_dataset_0107,0.319836495055479,0.48070046076848627,0.36930237745526046,0.18974064464515986,0.32683239782767837,0.2857109397268676,0.15990789670568367,0.4899783262303924,0.5831321056345258,0.4967732342452251,0.6298192848348163,0.5687699427064966,11,0.748,0.4469
Full,RT-DETR + Mamba + HIFM + DSCA,"Mamba, HIFM, DSCA",完整模型，包含所有三个改进机制，达到最佳性能，提升AP 74.6%,rtdetrv2_r50vd_cancer_detection_split_dataset_0105,0.323178273030275,0.4886011147283493,0.3704850139328705,0.20375453618765693,0.32339613822415403,0.2639554571899499,0.1708022507441377,0.4893196203136262,0.5874511334923211,0.4960751285777539,0.637139202393306,0.5791067990328984,7,0.7024,0.46
